wavelength;DO1-blank;DO1-blank2;DO1-blank3;1;0.5;3;DO3side2-blank7;2;blank-do-mppc;do_mppc
735;"-0,000596676";"-0,000531631";"0,432737351";"1,023811102";"0,545704067";"2,723155022";"2,707901239";"1,799368262";"0,00118886";"1,035350204"
734;"-0,000722807";"-0,000575736";"0,43277961";"1,023452997";"0,545671701";"2,723362684";"2,710007191";"1,800631046";"0,001183305";"1,035630107"
733;"-0,001008175";"-0,000708439";"0,432479054";"1,022520065";"0,545372248";"2,717342138";"2,713514328";"1,801253915";"0,001205213";"1,035655975"
732;"-0,000912608";"-0,000883469";"0,432208568";"1,022523642";"0,545344949";"2,720791578";"2,711235046";"1,801851749";"0,001010313";"1,035421968"
731;"-0,000810871";"-0,000867814";"0,432043284";"1,022075653";"0,545178711";"2,726224899";"2,710029602";"1,800762892";"0,00110321";"1,035772085"
730;"-0,001188402";"-0,000943398";"0,431631506";"1,021725297";"0,545003474";"2,721230507";"2,710615873";"1,800976634";"0,000733321";"1,035288811"
729;"-0,001117456";"-0,001228775";"0,431854099";"1,021398187";"0,544709265";"2,723011494";"2,712445974";"1,8014853";"0,000864805";"1,035514712"
728;"-0,001412059";"-0,001063903";"0,431380063";"1,02100122";"0,544434071";"2,724499702";"2,712965012";"1,801884055";"0,000650639";"1,035238385"
727;"-0,001566637";"-0,001276681";"0,431320936";"1,021442294";"0,544431865";"2,721469641";"2,71197176";"1,801857829";"0,000305458";"1,035381913"
726;"-0,001612133";"-0,001522684";"0,431103677";"1,021079302";"0,544567704";"2,722985744";"2,711669922";"1,800967455";"0,000114586";"1,034992099"
725;"-0,001981805";"-0,001752563";"0,430899411";"1,021117926";"0,544141173";"2,721796751";"2,715711355";"1,801209927";"-4,37E-05";"1,03472352"
724;"-0,001892845";"-0,002078064";"0,430883765";"1,020732999";"0,544208646";"2,72717309";"2,71466279";"1,802185416";"-0,000284445";"1,034723997"
723;"-0,002380255";"-0,002002625";"0,430726051";"1,021390676";"0,544370353";"2,723057032";"2,713135958";"1,80202651";"-0,000163827";"1,034849286"
722;"-0,002472256";"-0,002359762";"0,430871666";"1,020974994";"0,54442966";"2,724820375";"2,713172436";"1,802624941";"-0,000839963";"1,034500241"
721;"-0,002421135";"-0,002607828";"0,430431366";"1,020852685";"0,544386029";"2,727462769";"2,717036963";"1,800108552";"-0,000793663";"1,034164071"
720;"-0,002881314";"-0,002669115";"0,430594921";"1,021581292";"0,544393778";"2,726900339";"2,715538025";"1,802127123";"-0,000941745";"1,034326196"
