wavelength;DO1-blank;DO1-blank2;DO1-blank3;1;DO16-blank5;3;DO3side2-blank7;2;blank;mppc
710;-0.003591285;-0.003877339;0.433053523;1.030.353.069;0.54735446;2.731.718.779;271.767.807;1.802.680.492;-0.001672374667;1.033.208.251
709;-0.003725533;-0.003691192;0.433578521;1.031.113.505;0.5480932;2.733.745.575;2.718.370.438;1.803.631.902;-0.001616053283;1.033.450.961
708;-0.003577062;-0.003636107;0.434155405;1.033.043.504;0.548672378;2.729.235.172;2.718.897.104;1.801.830.649;-0.001695530256;1.033.407.688
707;-0.00344287;-0.003663111;0.434844166;1.034.824.133;0.549753189;2.731.092.453;2.720.139.265;1.802.589.536;-0.001805824926;1.033.630.252
706;-0.003430184;-0.003830233;0.435782075;1.036.789.536;0.550481081;2.732.699.394;2.716.631.413;1.802.405.715;-0.00149611407;1.033.786.058
705;-0.003445644;-0.00355986;0.436494589;104.007.268;0.551593959;2.734.764.576;2.724.346.161;1.802.037.477;-0.001518659992;1.033.430.696
704;-0.003418986;-0.003583788;0.437113345;1.041.137.218;0.552378476;2.730.051.041;2.720.913.887;1.803.292.751;-0.00150921871;1.033.312.678
703;-0.003296821;-0.003248161;0.438210845;1.044.751.644;0.553497672;2.733.613.968;2.724.774.361;1.803.907.275;-0.001181173953;1.034.074.545
702;-0.003256177;-0.003626609;0.439121038;1.047.077.537;0.554839194;2.737.883.091;2.722.209.454;1.803.502.679;-0.00107139186;1.034.059.882
701;-0.003118597;-0.003156118;0.440509647;1.050.055.385;0.55614531;273.099.494;2.721.116.543;1.803.758.144;-0.001337485504;1.033.759.236
700;-0.003214707;-0.003244769;0.441940963;1.053.110.361;0.557669699;2.737.356.901;2.723.917.484;1.804.117.322;-0.001159384963;1.033.680.081
699;-0.003304116;-0.003183666;0.442533135;1.056.143.403;0.558950782;2.734.305.382;272.489.953;1.803.442.121;-0.001119676745;1.034.353.375
698;-0.002964056;-0.00321666;0.444130749;1.059.429.646;0.56065011;27.369.349;2.723.413.467;1.803.819.299;-0.001020054333;1.033.476.114
697;-0.002906308;-0.00322961;0.445727557;1.063.870.907;0.562171698;2.735.297.441;2.728.087.902;1.803.443.789;-0.001169814961;1.033.962.131
696;-0.003090479;-0.003152418;0.447084844;1.067.625.046;0.564486027;2.735.037.088;2.724.497.557;1.805.965.424;-0.001185924048;1.034.357.309
695;-0.003056859;-0.003063285;0.448770851;1.070.954.323;0.565987885;2.735.132.217;2.727.936.506;1.805.022.597;-0.0007324725739;1.034.381.628
694;-0.002862902;-0.003109807;0.450490326;1.075.979.352;0.568305492;2.735.041.142;2.727.298.975;1.803.500.652;-0.001031830558;103.460.896
693;-0.002811827;-0.003068683;0.452484101;1.080.328.226;0.569784582;2.739.050.865;2.725.549.221;1.805.461.645;-0.0008492642664;1.034.384.847
692;-0.002930632;-0.002767537;0.454183698;1.085.436.225;0.572953105;27.398.808;2.727.701.664;1.805.048.466;-0.000796970271;1.035.030.007
691;-0.002817742;-0.002701222;0.456365913;1.090.731.859;0.574923515;2.734.451.294;2.726.356.268;1.807.201.743;-0.0007259602426;1.034.509.897
690;-0.002830859;-0.00275766;0.458086729;1.096.097.589;0.577562332;2.738.778.591;2.725.670.815;1.806.001.663;-0.000875460566;1.034.523.726
689;-0.002591463;-0.003015627;0.46044308;1.101.809.502;0.579945505;2.739.492.893;2.732.716.084;1.806.456.447;-0.0009704154218;1.034.461.737
688;-0.002704772;-0.002755499;0.4624452;110.699.439;0.5823856;2.740.291.834;2.724.961.281;180.629.158;-0.000938800571;1.034.815.788
687;-0.002618635;-0.002618841;0.464761347;1.112.735.152;0.584815145;2.743.354.797;272.934.413;1.807.288.289;-0.0007436363376;1.035.027.623
686;-0.002561355;-0.002652958;0.467010289;1.118.719.339;0.587963879;2.742.129.564;2.731.873.989;1.806.903.958;-0.0007701491122;1.035.096.288
685;-0.002436066;-0.002725712;0.469248742;1.124.440.551;0.590831101;2.739.740.849;27.292.099;1.807.154.775;-0.0007102992968;1.035.172.462
684;-0.002712849;-0.002729364;0.472277701;1.131.205.559;0.593713105;2.735.790.253;272.787.714;1.806.715.369;-0.0006627443363;1.035.201.073
683;-0.002818514;-0.002806838;0.474808365;1.137.809.873;0.596477091;2.739.281.416;2.734.536.171;1.807.567.239;-0.0006777867675;1.035.029.173
682;-0.002595065;-0.002896537;0.476983428;1.144.018.769;0.599820554;2.738.345.623;2.732.021.809;1.806.167.126;-0.0007121083327;1.035.295.725
681;-0.002629545;-0.002475551;0.479900807;115.081.203;0.602816701;274.156.785;2.729.595.423;1.807.418.466;-0.0007119015791;1.035.624.385
680;-0.002546327;-0.002592183;0.48251158;1.157.441.497;0.605729401;2.743.006.229;2.731.393.576;1.806.658.745;-0.0007118498906;1.035.616.994
679;-0.002575766;-0.002413207;0.484772742;1.164.573.073;0.608770192;2.742.763.758;2.727.073.908;1.808.513.999;-0.0006453234819;1.035.802.245
678;-0.002590485;-0.002577876;0.487613648;117.073.977;0.611554503;274.275.279;2.730.565.548;1.808.418.632;-0.0007414656575;103.582.418
677;-0.002572163;-0.002518121;0.490025699;1.177.309.155;0.614593446;2.744.562.626;2.732.438.326;1.807.582.498;-0.000552572601;1.035.862.923
676;-0.0024703;-0.002530937;0.492557287;1.183.864.474;0.617707551;2.743.262.053;2.730.803.013;1.809.050.679;-0.0004248397308;1.036.163.807
675;-0.002495833;-0.002389523;0.494774491;1.190.762.162;0.620697975;2.746.030.569;2.730.577.707;1.807.697.535;-0.0005244952627;1.035.825.014
674;-0.002699575;-0.002367949;0.497445345;1.196.531.415;0.623549044;2.745.246.887;2.735.517.502;1.808.100.343;-0.0005872659967;1.036.082.387
673;-0.002578442;-0.002301212;0.499967873;1.203.117.371;0.626377165;2.742.878.914;2.732.485.294;1.807.479.978;-0.0004322875466;1.036.202.312
672;-0.002404248;-0.002402704;0.501929581;1.208.485.126;0.629281044;2.743.777.514;2.736.893.177;180.793.643;-0.0003272306349;1.035.799.742
671;-0.002494082;-0.002372686;0.504259944;1.214.557.886;0.63165915;2.746.367.216;2.736.606.598;1.809.143.662;-0.0002915851946;1.036.463.618
670;-0.002490685;-0.002367537;0.506311119;1.220.038.176;0.634450376;2.745.954.752;2.734.358.788;1.808.328.867;-0.0003066404315;1.036.739.469
669;-0.002012468;-0.001919339;0.508699954;1.226.161.122;0.636802435;2.746.479.511;2.735.688.686;1.809.036.851;0.0;103.687.489
668;-0.001807733;-0.001301613;0.511147559;1.230.980.992;0.639245749;2.743.055.344;2.734.484.196;1.808.516.145;0.0002149067004;1.037.299.395
667;-0.001752048;-0.001565863;0.51291132;1.235.472.679;0.641537547;2.745.342.731;2.735.152.006;1.809.108.973;0.0;1.037.064.791
666;-0.00227366;-0.002208608;0.513982534;1.240.355.253;0.643184662;2.745.250.702;2.735.461.235;1.809.010.386;0.0;1.036.882.043
665;-0.002347816;-0.002127319;0.515546501;1.244.184.375;0.645026326;2.748.609.066;2.736.540.556;1.810.563.803;-0.0002377751807;1.036.450.982
664;-0.002435345;-0.002353789;0.517133176;1.248.096.108;0.646873653;2.746.707.201;2.736.477.613;1.809.613.228;-0.0004275809624;1.036.658.287
663;-0.002290037;-0.002509731;0.518503189;1.251.918.435;0.648139834;2.747.643.948;273.598.814;1.809.377.909;-0.0004606294096;1.036.666.274
662;-0.00257906;-0.002446002;0.519670546;1.255.678.773;0.649505973;2.747.512.341;2.736.048.937;1.810.172.439;-0.0006732895854;1.036.675.453
661;-0.002875605;-0.002629287;0.520960927;1.258.468.151;0.651297391;2.744.403.601;2.735.132.217;180.933.547;-0.0005497804377;1.036.696.792
660;-0.00284238;-0.002756116;0.521992743;1.262.290.359;0.652307212;2.748.395.443;2.737.286.329;1.810.167.909;-0.0007989857113;103.641.212
659;-0.002691086;-0.002892371;0.523194671;1.265.005.946;0.65363127;2.745.445.728;2.735.248.566;1.809.447.646;-0.0008289571851;1.036.762.357
658;-0.00262939;-0.00276301;0.524296284;1.268.075.347;0.654538095;274.669.981;2.736.167.908;1.810.795.188;-0.0009520253516;1.036.558.867
657;-0.002948013;-0.002697517;0.52523005;1.270.050.883;0.655902147;2.747.007.847;2.737.103.939;1.810.020.924;-0.0009200991481;1.036.416.411
656;-0.002952332;-0.002680692;0.525893629;1.272.205.949;0.656385362;274.953.723;2.736.202.478;180.942.297;-0.001035187626;1.036.722.779
655;-0.003001437;-0.002929604;0.526570618;1.273.958.564;0.657183945;2.744.061.232;2.737.251.282;1.809.273.362;-0.001144617447;1.036.884.427
654;-0.003221542;-0.003119985;0.526873946;1.276.003.957;0.657378674;2.746.872.425;2.737.564.087;1.810.394.406;-0.001368194004;1.036.794.066
653;-0.003329086;-0.0030766;0.527567864;1.277.563.572;0.658209086;2.745.979.548;2.739.233.732;1.810.721.397;-0.001365665114;1.036.527.753
652;-0.003385083;-0.003280173;0.527870417;1.279.322.267;0.658252716;2.745.664.835;2.739.790.916;1.810.181.499;-0.001241217018;1.036.357.999
651;-0.003370751;-0.003267636;0.528411388;1.280.691.624;0.658738077;2.747.092.009;273.814.106;180.972.147;-0.001317820512;103.686.285
650;-0.003578397;-0.003583377;0.528468788;1.281.863.928;0.659103453;2.747.643.709;273.986.268;1.809.623.718;-0.001676551998;103.621.006
649;-0.003632718;-0.003479645;0.528937876;1.282.125.473;0.659235656;2.748.133.898;2.736.862.421;1.809.845.328;-0.001644833828;1.036.204.457
648;-0.003903148;-0.003738519;0.529030263;1.282.814.026;0.659027994;2.746.661.186;2.733.788.252;1.809.009.314;-0.001769630355;1.036.451.101
647;-0.003852914;-0.003643038;0.528894544;1.283.523.798;0.659265816;2.747.654.438;2.737.577.438;180.970.943;-0.001907535247;1.036.202.788
646;-0.004081307;-0.004023553;0.528858066;1.283.881.187;0.659058094;274.541.688;2.737.816.572;1.809.760.213;-0.002188931452;1.036.071.181
645;-0.004064433;-0.003782248;0.528746724;1.284.489.512;0.6586532;2.745.466.232;2.736.567.259;1.808.274.031;-0.002070799237;1.035.727.382
644;-0.00423745;-0.004026785;0.528992355;1.284.527.659;0.658586979;2.748.793.364;2.738.142.014;1.808.864.117;-0.002242294373;1.035.954.952
643;-0.004413166;-0.004097155;0.528675079;1.284.180.403;0.658308446;274.565.053;2.736.584.425;1.808.940.768;-0.002278243424;1.036.041.141
642;-0.004609864;-0.004357762;0.52856946;1.284.605.265;0.658145309;2.742.703.676;2.734.385.967;1.809.461.355;-0.00241186819;1.035.891.652
641;-0.004554076;-0.004601258;0.528505921;1.283.751.369;0.657393932;274.703.002;2.734.671.831;1.809.291.482;-0.002408624627;1.035.813.928
640;-0.004640547;-0.004472815;0.528242946;1.283.599.734;0.656966925;2.745.000.362;2.736.770.153;1.809.037.924;-0.002472050255;1.035.829.306
639;-0.004967576;-0.004663289;0.527750194;1.283.656.955;0.656758905;2.748.210.669;2.736.947.775;180.898.273;-0.002668343252;1.035.515.189
638;-0.004736782;-0.004675069;0.527790666;1.283.011.675;0.65634197;2.746.468.306;2.739.333.153;1.809.056.282;-0.002776024863;1.035.658.479
637;-0.004682393;-0.00459634;0.52741611;1.282.395.959;0.655813992;2.741.410.255;2.736.046.791;1.809.111.357;-0.002739499556;1.035.675.287
636;-0.004954627;-0.004932003;0.527042151;1.282.165.766;0.655437827;2.747.715.712;2.736.211.538;1.808.733.225;-0.00294420775;1.035.524.249
635;-0.005075969;-0.00499849;0.526941538;1.281.415.939;0.655486047;2.745.565.653;2.737.924.337;1.807.958.245;-0.002932894742;1.035.553.336
634;-0.004927703;-0.005037538;0.5265674;1.281.326.771;0.655011594;2.742.730.379;2.739.227.533;180.827.117;-0.00299027958;1.035.349.369
