,405,,480,,0,,650,,550
489,3706.174,489,52959.16,439,3939511.145,439,162.4331,439,-15.4695
490,3812.286,490,41722.04,440,4012912.164,440,240.8573,440,178.6991
491,3995.035,491,37522.11,441,4081047.061,441,305.0985,441,62.5824
492,4398.836,492,34098.14,442,4148305.228,442,409.5661,442,141.768
493,4641.43,493,32206.61,443,4180216.134,443,261.367,443,253.4466
494,4642.314,494,27912.45,444,4200891.878,444,342.4794,444,230.9713
495,4237.319,495,25695.87,445,4216539.918,445,168.4185,445,-96.236
496,4756.044,496,23854.49,446,4225621.116,446,185.7317,446,145.3546
497,4347.209,497,22084.7,447,4199178.25,447,275.9334,447,186.6588
498,4407.704,498,20482.36,448,4165348.009,448,236.5231,448,65.2464
499,3922.739,499,18405.04,449,4123568.215,449,139.6249,449,188.9054
500,4171.238,500,17033.83,450,4047022.575,450,215.0384,450,231.5803
501,3767.5,501,15853.97,451,3929921.009,451,141.2942,451,108.0481
502,4372.867,502,15487.25,452,3791765.227,452,467.7439,452,75.1696
503,4099.592,503,14082.77,453,3644993.624,453,218.3096,453,167.9295
504,3475.28,504,12725.7,454,3486682.171,454,422.0215,454,135.0423
505,3853.931,505,12134.33,455,3336042.72,455,59.54,455,42.5285
506,3491.688,506,12122.83,456,3191349.049,456,179.9914,456,145.7067
507,3634.635,507,10695.01,457,3043563.404,457,275.9148,457,241.4244
508,3297.562,508,9536.582,458,2909720.699,458,234.1873,458,138.7761
509,3475.171,509,9994.983,459,2799425.336,459,340.1314,459,218.0299
510,3228.132,510,9665.138,460,2687048.037,460,201.6911,460,87.6906
511,3551.835,511,8397.439,461,2608167.685,461,159.1877,461,8.8436
512,3223.486,512,8769.325,462,2527118.434,462,321.0726,462,17.8368
513,3714.633,513,8695.955,463,2454394.17,463,161.6359,463,242.4559
514,3671.258,514,8215.979,464,2389295.909,464,298.3521,464,0
515,3811.803,515,7422.42,465,2315688.365,465,200.3111,465,27.3147
516,3659.54,516,7077.854,466,2231726.596,466,458.4566,466,220.0534
517,3443.564,517,7095.493,467,2171507.848,467,184.7786,467,194.0177
518,3756.853,518,6449.083,468,2097935.05,468,223.4139,468,176.8685
519,3838.038,519,6459.151,469,2024076.832,469,336.8093,469,65.4888
520,3325.928,520,5610.175,470,1948923.528,470,451.3176,470,197.4461
521,3498.908,521,5987.845,471,1892168.724,471,274.9663,471,265.4844
522,3848.627,522,5699.973,472,1836178.049,472,248.5949,472,200.7872
523,3880.244,523,5313.929,473,1772021.141,473,413.3402,473,278.7604
524,3870.997,524,5439.104,474,1734828.188,474,193.2781,474,86.9742
525,3724.062,525,5304.993,475,1720357.458,475,438.8336,475,136.5218
526,3671.258,526,4890.824,476,1691832.401,476,255.8356,476,196.7954
527,3779.306,527,5048.832,477,1681547.202,477,416.2002,477,178.3672
528,4127.151,528,4674.813,478,1669006.028,478,349.2633,478,19.9572
529,3732.005,529,4697.253,479,1669261.465,479,281.2482,479,30.133
