,Ecxitation_750,,Excitation_690,,Emission_550,,Emission_600,,Blank_600
461,150052.5,461,474363.3,721,3827358,771,1096372,461,2111.9
462,155609.5,462,483163.5,722,3770830,772,1082946,462,2144.472
463,164833.4,463,500249.5,723,3688665,773,1048091,463,2376.855
464,164246,464,516037.8,724,3599927,774,1031791,464,2123.538
465,171089.9,465,538686.6,725,3549718,775,985676.9,465,1928.254
466,172518,466,545847,726,3492290,776,979607.4,466,2226.589
467,179827.9,467,569235.9,727,3410893,777,951435.7,467,1931.805
468,186977.3,468,578815.3,728,3341724,778,944616.6,468,2050.991
469,191468.5,469,592645.6,729,3206984,779,920626.6,469,1696.445
470,194668.3,470,616998.4,730,3115932,780,910667.9,470,1954.895
471,201152.2,471,634184.9,731,3018877,781,892786.4,471,1937.743
472,205612.7,472,663213.6,732,2964693,782,865072.2,472,2095.99
473,213595.4,473,669403,733,2866978,783,839700.4,473,2202.403
474,220430.6,474,709242.1,734,2781847,784,848893.1,474,1968.137
475,227775.4,475,724514.4,735,2674384,785,808135.8,475,1833.829
476,239770.4,476,749405.1,736,2599495,786,808672.5,476,2335.699
477,246881.9,477,790353.8,737,2529408,787,779220.8,477,3231.853
478,256929.1,478,813739.9,738,2402482,788,745034.2,478,2388.887
479,267996.3,479,851124.4,739,2337194,789,728392.4,479,2842.867
480,276980.2,480,868789.6,740,2254490,790,695917.6,480,2763.272
481,287192,481,888867,741,2196238,791,689944.7,481,2566.375
482,294190.2,482,930507.1,742,2101069,792,684559.6,482,2343.88
483,303767.9,483,949183.1,743,2030032,793,663121.1,483,2069.046
484,315208.3,484,979737.5,744,1959687,794,640436.9,484,2428.324
485,322966.9,485,1013866,745,1884909,795,638957.5,485,2665.266
486,337554.8,486,1047921,746,1795986,796,616615.4,486,2262.431
487,333643.9,487,1064711,747,1742991,797,618559.2,487,3081.979
488,354528.5,488,1105703,748,1690076,798,600490.6,488,3166.826
489,361345.4,489,1136562,749,1609385,799,604811.8,489,2930.236
490,376429.3,490,1163932,750,1546964,800,603484.9,490,2481.3
491,378920.8,491,1183245,751,1500728,801,581049.9,491,2943.868
492,392697.8,492,1226581,752,1438378,802,567606.2,492,2381.682
493,392883.5,493,1236177,753,1393306,803,571308.8,493,2140.577
494,412359.7,494,1266953,754,1330393,804,548758.2,494,2321.684
495,418006.6,495,1293931,755,1276795,805,541265.8,495,2238.128
496,424182.2,496,1330648,756,1219302,806,525072.7,496,2373.526
497,442846.8,497,1364326,757,1190614,807,512903.9,497,2592.945
498,448283.5,498,1409325,758,1155367,808,504628.7,498,2767.818
499,461291,499,1445535,759,1090651,809,492948.5,499,2336.675
500,471961.8,500,1481380,760,1053921,810,482891.1,500,2430.196
501,490024.8,501,1529110,761,1027331,811,468893.2,501,3141.045
502,503555.6,502,1559564,762,988767.3,812,457105.9,502,2002.126
503,518454.8,503,1613284,763,951717.6,813,433616.1,503,2344.42
504,546093.8,504,1680159,764,931004.9,814,444913.6,504,2787.834
505,557323.8,505,1731923,765,883767,815,430182.8,505,2350.832
506,563724.4,506,1757706,766,866553.3,816,419771.8,506,2603.667
507,588736.8,507,1822125,767,848651.2,817,398104,507,2437.067
508,602409.5,508,1878254,768,809558,818,372867.5,508,3142.902
509,622294.8,509,1919734,769,792891.1,819,361328.4,509,3121.079
510,634827.9,510,1984268,770,760624.4,820,366651.4,510,2761.124
511,657121.8,511,2022355,771,727461.1,821,360698.3,511,2864.757
512,674339.5,512,2078894,772,710823.3,822,336261.2,512,2776.75
513,697172.1,513,2144835,773,692490.2,823,331039.9,513,2439.732
514,714860.5,514,2173909,774,693297.5,824,319753.1,514,2766.724
515,739199.3,515,2242815,775,657247.3,825,313673.4,515,2518.907
516,752036.9,516,2283112,776,638278.6,826,297854.8,516,2899.85
517,774327.4,517,2323930,777,634214.3,827,307832.3,517,2443.14
518,790482.1,518,2404965,778,621467.8,828,281053.3,518,2432.552
519,808178.1,519,2482119,779,614567.4,829,274128.2,519,2450.865
520,827823.8,520,2522047,780,600116.3,830,264054.6,520,3464.305
