Time,Read
1246,2267
1247,2416
1248,4095
1249,4095
1250,4095
1251,4095
1252,4095
1253,4095
1254,1404
1255,1808
1256,2149
1257,2309
1258,2255
1259,2064
1260,1707
1261,1147
1262,688
1263,803
1263,1132
1264,1570
1265,1997
1266,4095
1267,4095
1268,4095
1269,4095
1270,4095
1271,4095
1272,690
1273,907
1274,1269
1275,1682
1276,2047
1277,2273
1278,2279
1279,2138
1280,1827
1280,1345
1281,727
1282,4095
1283,4095
1284,4095
1285,4095
1286,4095
1287,4095
1288,2230
1289,2011
1290,1630
1291,1042
1292,672
1293,834
1294,1177
1295,1604
1296,1979
1296,2246
1297,2319
1298,2199
1299,1966
1300,1978
1301,4095
1302,4095
1303,4095
1304,4095
1305,4095
1306,2121
1307,2287
1308,2242
1309,2059
1310,1690
1311,1129
1312,691
1313,800
1313,1121
1314,1535
1315,1941
1316,2240
1317,2352
1318,2387
1319,4095
1320,4095
1321,4095
1322,4095
1323,4095
1324,1328
1325,1739
1326,2082
1327,2288
1328,2257
1329,2047
1330,1746
1331,1194
1332,656
1332,771
1333,1081
1334,1507
1335,1927
1336,2294
1337,4095
1338,4095
1339,4095
1340,4095
1341,4095
1342,668
1343,857
1344,1203
1345,1622
1346,1981
1347,2235
1348,2285
1348,2149
1349,1869
1350,1409
1351,771
1352,789
1353,4095
1354,4095
1355,4095
1356,2105
1357,2293
1358,2269
1359,2090
1360,1750
1361,1219
1362,656
1363,769
1363,1072
1364,1487
1365,1888
1366,2191
1367,2331
1368,2288
1369,4095
1370,4095
1371,4095
1372,4095
1373,4095
1374,1296
1375,1711
1376,2067
1377,2279
1378,2279
1379,2113
1380,1805
1381,1283
1382,673
1382,742
1383,1018
1384,1446
1385,1859
1386,2211
1387,4095
1388,4095
1389,4095
1390,4095
1391,4095
1392,676
1393,833
1394,1168
1395,1589
1396,1967
1396,2235
1397,2303
1398,2191
1399,1923
1400,1486
1401,849
1402,748
1403,4095
1404,4095
1405,4095
1406,2094
1407,2277
1408,2278
1409,2101
1410,1776
1411,1257
1412,656
1412,746
1413,1044
1414,1458
1415,1858
1416,2177
1417,2327
1418,2288
1419,3479
1420,4095
1421,4095
1422,4095
1423,4095
1424,1242
1425,1660
1426,2017
1427,2255
1428,2275
1429,2123
1430,1824
1430,1337
1431,708
1432,725
1433,999
1434,1418
1435,2725
1436,4095
1437,4095
1438,4095
1439,4095
1440,1743
1441,1243
1442,657
1443,723
1443,1082
1444,1494
1445,1886
1446,2181
1447,2289
1448,2199
1449,1974
1450,1584
1451,964
1452,4095
1453,4095
1454,4095
1455,1687
1456,2045
1457,2263
1458,2291
1459,2128
1460,1833
1461,1338
1461,720
1462,720
1463,992
1464,1374
1465,1855
1466,2162
1467,3067
1468,4095
1469,4095
1470,4095
1471,1118
1472,681
1473,785
1473,1104
1474,1520
1475,1909
1476,2205
1477,2317
1478,2214
1479,1971
1480,1563
1481,956
1482,721
1483,4095
1484,4095
1485,1653
1486,2011
1487,2239
1488,2279
1489,2134
1490,1842
1490,1355
1491,722
1492,720
1493,976
1494,1353
1495,1794
1496,2151
1497,3803
1498,4095
1499,4095
1500,4095
1501,1222
1502,656
1503,768
1503,1073
1504,1483
1505,1879
1506,2175
1507,2309
1508,2211
1509,1979
1510,1583
1511,971
1512,732
1513,4095
1514,4095
1515,1638
1516,2007
1517,2257
1518,2303
1519,2166
1519,1872
1520,1418
1521,778
1522,709
1523,945
1524,1327
1525,1755
1526,2130
1527,4095
1528,4095
1529,4095
1530,4095
1531,1244
1532,656
1532,756
1533,1053
1534,1436
1535,1866
1536,2187
1537,2306
1538,2237
1539,2002
1540,1623
1541,1040
1542,684
1543,4095
1544,4095
1545,4095
1546,4095
1547,2245
1548,2286
1549,2142
1550,1842
1550,1378
1551,732
1552,706
1553,962
1554,1338
1555,1757
1556,2096
1557,2323
1558,2351
1559,4095
1560,4095
1561,4095
1562,4095
1563,780
1563,1088
1564,1505
1565,1903
1566,2190
1567,2302
1568,2202
1569,1957
1570,1535
1571,928
1572,669
1573,896
1574,4095
1575,4095
1576,4095
1577,2246
1578,2299
1578,2167
1579,1880
1580,1425
1581,789
1582,698
1583,939
1584,1306
1585,1715
1586,2078
1587,2313
1588,2389
1589,4095
1590,4095
1591,4095
1592,4095
1593,764
1593,1072
1594,1498
1595,1886
1596,2189
1597,2307
1598,2224
1599,1983
1600,1594
1601,986
1602,676
1603,892
1604,4095
1605,4095
1606,4095
1607,2228
1607,2293
1608,2160
1609,1898
1610,1440
1611,804
1612,688
1613,924
1614,1290
1615,1714
1616,2082
1617,2329
1618,3009
1619,4095
1620,4095
1621,4095
1622,4095
1623,752
1623,1088
1624,1457
1625,1855
1626,2155
1627,2293
1628,2224
1629,1998
1630,1612
1631,1008
1632,672
1633,862
1634,4095
1635,4095
1636,4095
1637,4095
1638,4095
1638,2171
1639,1899
1640,1446
1641,808
1642,697
1643,925
1644,1289
1645,1712
1646,2003
1647,2275
1648,2295
1649,2191
1650,4095
1651,4095
1652,4095
1653,4095
1653,4095
1654,1521
1655,1911
1656,2199
1657,2309
1658,2214
1659,1968
1660,1561
1661,944
1662,670
1663,858
1664,1232
1665,1739
1666,4095
1667,4095
1668,4095
1669,4095
1669,4095
1670,1408
1671,817
1672,700
1673,944
1674,1319
1675,1756
1676,2083
1677,2290
1678,2288
1679,2128
1680,1836
1681,1733
1682,4095
1683,4095
1684,4095
1684,4095
1685,4095
1686,2191
1687,2289
1688,2193
1689,1942
1690,1526
1691,904
1692,672
1693,874
1694,1232
1695,1665
1696,2069
1697,4095
1698,4095
1699,4095
1700,4095
1700,4095
1701,4095
1702,721
1703,978
1704,1353
1705,1756
1706,2097
1707,2288
1708,2255
1709,2065
